,0
0,0.49
1,0.706
2,0.6683
3,0.458
4,0.5238
5,0.2788
6,0.5371
7,0.1529
8,0.2949
9,0.709
10,0.3533
11,0.6729
12,0.564
13,0.2671
14,0.3262
15,0.4834
16,0.5759
17,0.5266
18,0.5116
19,0.5674
20,0.708
21,0.2712
22,0.494
23,0.7292
24,0.8915
25,0.4341
26,0.763
27,0.6413
28,0.4889
29,0.5292
30,0.3022
31,0.7904
32,0.8293
33,0.459
34,0.5328
35,0.2488
36,0.1428
37,0.2228
38,0.512
39,0.7545
40,0.2478
41,0.5431
42,0.6297
43,0.8258
44,0.905
45,0.5264
46,0.2071
47,0.1844
48,0.2295
49,0.4141
50,0.139
51,0.3979
52,0.8777
53,0.618
54,0.9175
55,0.4847
56,0.4196
57,0.8069
58,0.5391
59,0.5568
60,0.2464
61,0.3011
62,0.6152
63,0.7581
64,0.2069
65,0.787
66,0.1827
67,0.4522
68,0.285
69,0.6618
70,0.4331
71,0.8623
72,0.6968
73,0.6149
74,0.3701
75,0.5753
76,0.722
77,0.5058
78,0.7246
79,0.4692
80,0.7181
81,0.5264
82,0.2599
83,0.4936
84,0.3503
85,0.5948
86,0.2612
87,0.594
88,0.8033
89,0.4117
90,0.3082
91,0.7361
92,0.2355
93,0.7283
94,0.5503
95,0.7706
96,0.1736
97,0.1808
98,0.3532
99,0.92
100,0.1735
101,0.2019
102,0.5349
103,0.4417
104,0.7844
105,0.5484
106,0.5697
107,0.8537
108,0.2457
109,0.5615
110,0.7288
111,0.1847
112,0.524
113,0.4616
114,0.6768
115,0.518
116,0.5929
117,0.3791
118,0.4837
119,0.6973
120,0.888
121,0.5745
122,0.7829
123,0.3557
124,0.5838
125,0.5034
126,0.625
127,0.637
128,0.4513
129,0.17
130,0.4465
131,0.3647
132,0.5082
133,0.5395
134,0.4052
135,0.5433
136,0.6134
137,0.6034
138,0.1804
139,0.1843
140,0.463
141,0.8874
142,0.7577
143,0.3597
144,0.5574
145,0.3747
146,0.4726
147,0.4984
148,0.3863
149,0.7855
150,0.5499
151,0.2598
152,0.2144
153,0.3769
154,0.4268
155,0.6038
156,0.7024
157,0.6784
158,0.5679
159,0.6612
160,0.7536
161,0.5676
162,0.4108
163,0.7659
164,0.3657
165,0.297
166,0.4858
167,0.4522
168,0.4422
169,0.3213
170,0.7742
171,0.3119
172,0.5538
173,0.7958
174,0.3397
175,0.6873
176,0.5407
177,0.2845
178,0.4007
179,0.5447
180,0.4999
181,0.6732
182,0.4743
183,0.5627
184,0.3419
185,0.5642
186,0.6494
187,0.8485
188,0.5168
189,0.1741
190,0.4389
191,0.5859
192,0.1837
193,0.665
194,0.8344
195,0.4343
196,0.1642
197,0.4003
198,0.3394
199,0.2519
200,0.1686
201,0.5436
202,0.1849
203,0.7466
204,0.7651
205,0.7292
206,0.1464
207,0.5488
208,0.6807
209,0.3213
210,0.662
211,0.5517
212,0.1979
213,0.6297
214,0.4492
215,0.7829
216,0.2199
217,0.7249
218,0.743
219,0.4564
220,0.8084
221,0.1896
222,0.4176
223,0.5779
224,0.308
225,0.3545
226,0.7465
227,0.165
228,0.1446
229,0.6127
230,0.7667
231,0.2061
232,0.3424
233,0.3555
234,0.9028
235,0.6985
236,0.6615
237,0.4672
238,0.2382
239,0.2665
240,0.5527
241,0.213
242,0.6678
243,0.2862
244,0.3211
245,0.7499
246,0.3531
247,0.416
248,0.4914
249,0.672
250,0.6896
251,0.7624
252,0.7892
253,0.661
254,0.4371
255,0.6127
256,0.8412
257,0.1867
258,0.6822
259,0.2152
260,0.5625
261,0.3205
262,0.5778
263,0.7814
264,0.6906
265,0.1713
266,0.1597
267,0.2314
268,0.5346
269,0.7107
270,0.3675
271,0.1829
272,0.2098
273,0.6376
274,0.4469
275,0.3233
276,0.8087
277,0.2738
278,0.7223
279,0.4612
280,0.4574
281,0.2446
282,0.4028
283,0.3158
284,0.3818
285,0.4016
286,0.9458
287,0.5238
288,0.613
289,0.3263
290,0.8797
291,0.316
292,0.6567
293,0.4187
294,0.2596
295,0.6948
296,0.1813
297,0.4288
298,0.7875
299,0.1676
300,0.3697
301,0.7299
302,0.2267
303,0.1435
304,0.3924
305,0.4297
306,0.5141
307,0.3461
308,0.7113
309,0.2516
310,0.1559
311,0.8714
312,0.2396
313,0.1941
314,0.21
315,0.5613
316,0.4045
317,0.2037
318,0.7139
319,0.6433
320,0.7763
321,0.4632
322,0.2202
323,0.6438
324,0.8664
325,0.7088
326,0.43
327,0.5214
328,0.3002
329,0.5353
330,0.478
331,0.4946
332,0.5562
333,0.8242
334,0.7119
335,0.2665
336,0.7869
337,0.6433
338,0.6196
339,0.8863
340,0.5857
341,0.604
342,0.2201
343,0.6744
344,0.4813
345,0.7705
346,0.8774
347,0.6474
348,0.3277
349,0.2719
350,0.2388
351,0.5838
352,0.1672
353,0.7949
354,0.3656
355,0.5574
356,0.5858
357,0.4742
358,0.5319
359,0.7764
360,0.3636
361,0.6964
362,0.8307
363,0.6469
364,0.3329
365,0.3066
366,0.451
367,0.33
368,0.826
369,0.398
370,0.6914
371,0.6678
372,0.6419
373,0.8255
374,0.192
375,0.2687
376,0.2311
377,0.522
378,0.1898
379,0.6535
380,0.7533
381,0.3749
382,0.2039
383,0.3573
384,0.706
385,0.7471
386,0.6326
387,0.8246
388,0.5649
389,0.2129
390,0.7972
391,0.779
392,0.3687
393,0.3089
394,0.226
395,0.6103
396,0.4745
397,0.4456
398,0.6677
399,0.4877
400,0.4511
401,0.5405
402,0.7078
403,0.3996
404,0.1928
405,0.4575
406,0.3102
407,0.5466
408,0.7217
409,0.3173
410,0.3435
411,0.6554
412,0.4919
413,0.2719
414,0.4599
415,0.548
416,0.5073
417,0.4503
418,0.3458
419,0.7008
420,0.1658
421,0.4305
422,0.7012
423,0.4567
424,0.8345
425,0.5097
426,0.7106
427,0.6965
428,0.7365
429,0.5661
430,0.2568
431,0.6352
432,0.7313
433,0.449
434,0.5187
435,0.371
436,0.2412
437,0.3705
438,0.5113
439,0.461
440,0.4282
441,0.3839
442,0.6666
443,0.3718
444,0.4125
445,0.5302
446,0.2125
447,0.6532
448,0.6611
449,0.3045
450,0.7024
451,0.2497
452,0.3365
453,0.3266
454,0.5528
455,0.2614
456,0.6989
457,0.4817
458,0.7626
459,0.4776
460,0.9099
461,0.2476
462,0.1807
463,0.6865
464,0.7873
465,0.9184
466,0.7036
467,0.5648
468,0.3804
469,0.1707
470,0.6046
471,0.9388
472,0.4439
473,0.3862
474,0.18
475,0.5746
476,0.7196
477,0.4354
478,0.6851
479,0.4845
480,0.2664
481,0.5852
482,0.3646
483,0.3367
484,0.2124
485,0.729
486,0.6153
487,0.753
488,0.3334
489,0.2001
490,0.4128
491,0.4658
492,0.2633
493,0.1769
494,0.5492
495,0.8377
496,0.9223
497,0.664
498,0.1718
499,0.2949
500,0.5564
501,0.4096
502,0.7354
503,0.4804
504,0.5565
505,0.4779
506,0.6555
507,0.6229
508,0.7762
509,0.6512
510,0.3659
511,0.2761
512,0.8312
513,0.4995
514,0.563
515,0.2177
516,0.4025
517,0.7733
518,0.4468
519,0.2202
520,0.4032
521,0.3233
522,0.7918
523,0.5813
524,0.6398
525,0.7711
526,0.4396
527,0.6282
528,0.5324
529,0.6895
530,0.6913
531,0.7001
532,0.7671
