,0
0,0.259
1,0.188
2,0.4024
3,0.28
4,0.738
5,0.473
6,0.5737
7,0.448
8,0.5949
9,0.213
10,0.6567
11,0.152
12,0.6218
13,0.365
14,0.4066
15,0.317
16,0.3104
17,0.597
18,0.6739
19,0.484
20,0.2994
21,0.496
22,0.1856
23,0.421
24,0.4054
25,0.792
26,0.322
27,0.675
28,0.3275
29,0.182
30,0.7124
31,0.467
32,0.4151
33,0.7
34,0.3312
35,0.518
36,0.5692
37,0.425
38,0.4769
39,0.616
40,0.6281
41,0.442
42,0.7591
43,0.168
44,0.1392
45,0.205
46,0.6937
47,0.355
48,0.7599
49,0.619
50,0.1768
51,0.418
52,0.7027
53,0.642
54,0.4181
55,0.765
56,0.8871
57,0.598
58,0.5424
59,0.616
60,0.1724
61,0.383
62,0.1862
63,0.253
64,0.6677
65,0.579
66,0.1428
67,0.522
68,0.9433
69,0.518
70,0.3726
71,0.433
72,0.5524
73,0.255
74,0.2472
75,0.264
76,0.7934
77,0.278
78,0.4639
79,0.298
80,0.5164
81,0.659
82,0.6294
83,0.821
84,0.5892
85,0.772
86,0.2156
87,0.375
88,0.3334
89,0.457
90,0.1831
91,0.282
92,0.2314
93,0.547
94,0.1748
95,0.17
96,0.541
97,0.32
98,0.722
99,0.829
100,0.2293
101,0.192
102,0.4428
103,0.405
104,0.7091
105,0.368
106,0.6454
107,0.703
108,0.1988
109,0.821
110,0.4702
111,0.636
112,0.5329
113,0.821
114,0.4275
115,0.786
116,0.4412
117,0.498
118,0.4254
119,0.656
120,0.3754
121,0.273
122,0.1875
123,0.252
124,0.5916
125,0.307
126,0.229
127,0.301
128,0.4558
129,0.498
130,0.6936
131,0.613
132,0.4036
133,0.485
134,0.6611
135,0.259
136,0.6258
137,0.684
138,0.3785
139,0.675
140,0.5564
141,0.167
142,0.1687
143,0.289
144,0.4993
145,0.444
146,0.381
147,0.528
148,0.3761
149,0.676
150,0.7298
151,0.823
152,0.5977
153,0.712
154,0.5228
155,0.243
156,0.1618
157,0.438
158,0.397
159,0.407
160,0.3288
161,0.478
162,0.6598
163,0.51
164,0.6833
165,0.826
166,0.3216
167,0.759
168,0.6122
169,0.317
170,0.4253
171,0.677
172,0.6918
173,0.222
174,0.2451
175,0.545
176,0.4232
177,0.576
178,0.2094
179,0.664
180,0.3999
181,0.552
182,0.4131
183,0.63
184,0.612
185,0.177
186,0.2786
187,0.793
188,0.5498
189,0.85
190,0.6889
191,0.156
192,0.4958
193,0.796
194,0.7089
195,0.797
196,0.3948
197,0.31
198,0.3496
199,0.523
200,0.6223
201,0.36
202,0.4248
203,0.63
204,0.743
205,0.481
206,0.3485
207,0.174
208,0.6537
209,0.656
210,0.3467
211,0.417
212,0.9269
213,0.681
214,0.5997
215,0.575
216,0.5712
217,0.259
218,0.4844
219,0.718
220,0.4461
221,0.541
222,0.4216
223,0.412
224,0.7923
225,0.186
226,0.703
227,0.218
228,0.591
229,0.283
230,0.7335
231,0.356
232,0.1643
233,0.369
234,0.1798
235,0.518
236,0.8701
237,0.764
238,0.7842
239,0.248
240,0.8882
241,0.36
242,0.2143
243,0.697
244,0.4434
245,0.612
246,0.4822
247,0.554
248,0.2865
249,0.166
250,0.5628
251,0.211
252,0.2833
253,0.748
254,0.4596
255,0.29
256,0.5058
257,0.73
258,0.203
259,0.305
260,0.4294
261,0.258
262,0.2938
263,0.756
264,0.3094
265,0.233
266,0.7293
267,0.809
268,0.8194
269,0.389
270,0.8522
271,0.713
272,0.1623
273,0.236
274,0.7083
275,0.642
276,0.7589
277,0.413
278,0.8544
279,0.479
280,0.5632
281,0.598
282,0.2021
283,0.635
284,0.7723
285,0.31
286,0.8015
287,0.716
288,0.4913
289,0.321
290,0.907
291,0.438
292,0.9024
293,0.29
294,0.4825
295,0.31
296,0.4064
297,0.491
298,0.9075
299,0.77
300,0.1768
301,0.189
302,0.5114
303,0.794
304,0.2619
305,0.201
306,0.4351
307,0.278
308,0.4204
309,0.274
310,0.1735
311,0.497
312,0.1789
313,0.806
314,0.2074
315,0.687
316,0.59
317,0.828
318,0.7596
319,0.196
320,0.2815
321,0.415
322,0.2453
323,0.674
324,0.8432
325,0.197
326,0.3061
327,0.487
328,0.8379
329,0.597
330,0.8307
331,0.602
332,0.7286
333,0.692
334,0.5335
335,0.658
336,0.191
337,0.722
338,0.6379
339,0.604
340,0.7834
341,0.199
342,0.5333
343,0.29
344,0.4998
345,0.571
346,0.494
347,0.316
348,0.8191
349,0.661
350,0.4616
351,0.604
352,0.3273
353,0.169
354,0.4182
355,0.837
356,0.5971
357,0.755
358,0.484
359,0.551
360,0.3271
361,0.843
362,0.2064
363,0.228
364,0.5969
365,0.745
366,0.5038
367,0.518
368,0.6912
369,0.599
370,0.3108
371,0.527
372,0.7088
373,0.361
374,0.2542
375,0.358
376,0.3164
377,0.235
378,0.2841
379,0.792
380,0.346
381,0.807
382,0.2773
383,0.742
384,0.3349
385,0.292
386,0.6912
387,0.617
388,0.8536
389,0.339
390,0.3552
391,0.169
392,0.4481
393,0.283
394,0.5415
395,0.604
396,0.1553
397,0.641
398,0.4084
399,0.332
400,0.3626
401,0.402
402,0.5812
403,0.776
404,0.8846
405,0.765
406,0.1764
