,0
0,0.49
1,0.188
2,0.6683
3,0.28
4,0.5238
5,0.473
6,0.5371
7,0.448
8,0.2949
9,0.213
10,0.3533
11,0.152
12,0.564
13,0.365
14,0.3262
15,0.317
16,0.5759
17,0.597
18,0.5116
19,0.484
20,0.708
21,0.496
22,0.494
23,0.421
24,0.8915
25,0.792
26,0.763
27,0.675
28,0.4889
29,0.182
30,0.3022
31,0.467
32,0.8293
33,0.7
34,0.5328
35,0.518
36,0.1428
37,0.425
38,0.512
39,0.616
40,0.2478
41,0.442
42,0.6297
43,0.168
44,0.905
45,0.205
46,0.2071
47,0.355
48,0.2295
49,0.619
50,0.139
51,0.418
52,0.8777
53,0.642
54,0.9175
55,0.765
56,0.4196
57,0.598
58,0.5391
59,0.616
60,0.2464
61,0.383
62,0.6152
63,0.253
64,0.2069
65,0.579
66,0.1827
67,0.522
68,0.285
69,0.518
70,0.4331
71,0.433
72,0.6968
73,0.255
74,0.3701
75,0.264
76,0.722
77,0.278
78,0.7246
79,0.298
80,0.7181
81,0.659
82,0.2599
83,0.821
84,0.3503
85,0.772
86,0.2612
87,0.375
88,0.8033
89,0.457
90,0.3082
91,0.282
92,0.2355
93,0.547
94,0.5503
95,0.17
96,0.1736
97,0.32
98,0.3532
99,0.829
100,0.1735
101,0.192
102,0.5349
103,0.405
104,0.7844
105,0.368
106,0.5697
107,0.703
108,0.2457
109,0.821
110,0.7288
111,0.636
112,0.524
113,0.821
114,0.6768
115,0.786
116,0.5929
117,0.498
118,0.4837
119,0.656
120,0.888
121,0.273
122,0.7829
123,0.252
124,0.5838
125,0.307
126,0.625
127,0.301
128,0.4513
129,0.498
130,0.4465
131,0.613
132,0.5082
133,0.485
134,0.4052
135,0.259
136,0.6134
137,0.684
138,0.1804
139,0.675
140,0.463
141,0.167
142,0.7577
143,0.289
144,0.5574
145,0.444
146,0.4726
147,0.528
148,0.3863
149,0.676
150,0.5499
151,0.823
152,0.2144
153,0.712
154,0.4268
155,0.243
156,0.7024
157,0.438
158,0.5679
159,0.407
160,0.7536
161,0.478
162,0.4108
163,0.51
164,0.3657
165,0.826
166,0.4858
167,0.759
168,0.4422
169,0.317
170,0.7742
171,0.677
172,0.5538
173,0.222
174,0.3397
175,0.545
176,0.5407
177,0.576
178,0.4007
179,0.664
180,0.4999
181,0.552
182,0.4743
183,0.63
184,0.3419
185,0.177
186,0.6494
187,0.793
188,0.5168
189,0.85
190,0.4389
191,0.156
192,0.1837
193,0.796
194,0.8344
195,0.797
196,0.1642
197,0.31
198,0.3394
199,0.523
200,0.1686
201,0.36
202,0.1849
203,0.63
204,0.7651
205,0.481
206,0.1464
207,0.174
208,0.6807
209,0.656
210,0.662
211,0.417
212,0.1979
213,0.681
214,0.4492
215,0.575
216,0.2199
217,0.259
218,0.743
219,0.718
220,0.8084
221,0.541
222,0.4176
223,0.412
224,0.308
225,0.186
226,0.7465
227,0.218
228,0.1446
229,0.283
230,0.7667
231,0.356
232,0.3424
233,0.369
234,0.9028
235,0.518
236,0.6615
237,0.764
238,0.2382
239,0.248
240,0.5527
241,0.36
242,0.6678
243,0.697
244,0.3211
245,0.612
246,0.3531
247,0.554
248,0.4914
249,0.166
250,0.6896
251,0.211
252,0.7892
253,0.748
254,0.4371
255,0.29
256,0.8412
257,0.73
258,0.6822
259,0.305
260,0.5625
261,0.258
262,0.5778
263,0.756
264,0.6906
265,0.233
266,0.1597
267,0.809
268,0.5346
269,0.389
270,0.3675
271,0.713
272,0.2098
273,0.236
274,0.4469
275,0.642
276,0.8087
277,0.413
278,0.7223
279,0.479
280,0.4574
281,0.598
282,0.4028
283,0.635
284,0.3818
285,0.31
286,0.9458
287,0.716
288,0.613
289,0.321
290,0.8797
291,0.438
292,0.6567
293,0.29
294,0.2596
295,0.31
296,0.1813
297,0.491
298,0.7875
299,0.77
300,0.3697
301,0.189
302,0.2267
303,0.794
304,0.3924
305,0.201
306,0.5141
307,0.278
308,0.7113
309,0.274
310,0.1559
311,0.497
312,0.2396
313,0.806
314,0.21
315,0.687
316,0.4045
317,0.828
318,0.7139
319,0.196
320,0.7763
321,0.415
322,0.2202
323,0.674
324,0.8664
325,0.197
326,0.43
327,0.487
328,0.3002
329,0.597
330,0.478
331,0.602
332,0.5562
333,0.692
334,0.7119
335,0.658
336,0.7869
337,0.722
338,0.6196
339,0.604
340,0.5857
341,0.199
342,0.2201
343,0.29
344,0.4813
345,0.571
346,0.8774
347,0.316
348,0.3277
349,0.661
350,0.2388
351,0.604
352,0.1672
353,0.169
354,0.3656
355,0.837
356,0.5858
357,0.755
358,0.5319
359,0.551
360,0.3636
361,0.843
362,0.8307
363,0.228
364,0.3329
365,0.745
366,0.451
367,0.518
368,0.826
369,0.599
370,0.6914
371,0.527
372,0.6419
373,0.361
374,0.192
375,0.358
376,0.2311
377,0.235
378,0.1898
379,0.792
380,0.7533
381,0.807
382,0.2039
383,0.742
384,0.706
385,0.292
386,0.6326
387,0.617
388,0.5649
389,0.339
390,0.7972
391,0.169
392,0.3687
393,0.283
394,0.226
395,0.604
396,0.4745
397,0.641
398,0.6677
399,0.332
400,0.4511
401,0.402
402,0.7078
403,0.776
404,0.1928
405,0.765
406,0.3102
407,0.617
408,0.7217
409,0.849
410,0.3435
411,0.248
412,0.4919
413,0.682
