,0
0,0.272
1,0.188
2,0.417
3,0.28
4,0.698
5,0.473
6,0.574
7,0.448
8,0.639
9,0.213
10,0.712
11,0.152
12,0.573
13,0.365
14,0.449
15,0.317
16,0.309
17,0.597
18,0.611
19,0.484
20,0.35
21,0.496
22,0.211
23,0.421
24,0.451
25,0.792
26,0.361
27,0.675
28,0.33
29,0.182
30,0.67
31,0.467
32,0.436
33,0.7
34,0.384
35,0.518
36,0.531
37,0.425
38,0.528
39,0.616
40,0.548
41,0.442
42,0.816
43,0.168
44,0.163
45,0.205
46,0.695
47,0.355
48,0.826
49,0.619
50,0.179
51,0.418
52,0.634
53,0.642
54,0.395
55,0.765
56,0.785
57,0.598
58,0.531
59,0.616
60,0.155
61,0.383
62,0.183
63,0.253
64,0.652
65,0.579
66,0.167
67,0.522
68,0.837
69,0.518
70,0.377
71,0.433
72,0.566
73,0.255
74,0.257
75,0.264
76,0.705
77,0.278
78,0.517
79,0.298
80,0.573
81,0.659
82,0.635
83,0.821
84,0.58
85,0.772
86,0.239
87,0.375
88,0.299
89,0.457
90,0.198
91,0.282
92,0.215
93,0.547
94,0.169
95,0.17
96,0.522
97,0.32
98,0.718
99,0.829
100,0.254
101,0.192
102,0.396
103,0.405
104,0.793
105,0.368
106,0.631
107,0.703
108,0.182
109,0.821
110,0.533
111,0.636
112,0.536
113,0.821
114,0.436
115,0.786
116,0.464
117,0.498
118,0.412
119,0.656
120,0.433
121,0.273
122,0.196
123,0.252
124,0.58
125,0.307
126,0.251
127,0.301
128,0.493
129,0.498
130,0.688
131,0.613
132,0.432
133,0.485
134,0.735
135,0.259
136,0.611
137,0.684
138,0.359
139,0.675
140,0.59
141,0.167
142,0.159
143,0.289
144,0.487
145,0.444
146,0.438
147,0.528
148,0.379
149,0.676
150,0.671
151,0.823
152,0.557
153,0.712
154,0.535
155,0.243
156,0.168
157,0.438
158,0.417
159,0.407
160,0.374
161,0.478
162,0.664
163,0.51
164,0.663
165,0.826
166,0.375
167,0.759
168,0.639
169,0.317
170,0.5
171,0.677
172,0.623
173,0.222
174,0.28
175,0.545
176,0.394
177,0.576
178,0.203
179,0.664
180,0.369
181,0.552
182,0.361
183,0.63
184,0.681
185,0.177
