,0
0,0.1989
1,0.1277
2,0.4638
3,0.2615
4,0.7212
5,0.7516
6,0.5945
7,0.4959
8,0.5018
9,0.1745
10,0.6368
11,0.1551
12,0.306
13,0.4236
14,0.3273
15,0.2768
16,0.2461
17,0.6192
18,0.5645
19,0.4736
20,0.2319
21,0.3081
22,0.3918
23,0.5368
24,0.3659
25,0.7583
26,0.3955
27,0.6257
28,0.5925
29,0.218
30,0.9153
31,0.3604
32,0.3685
33,0.7671
34,0.546
35,0.3451
36,0.7137
37,0.291
38,0.5553
39,0.6079
40,0.4476
41,0.6384
42,1.1493
43,0.3207
44,0.1686
45,0.1627
46,0.6778
47,0.3305
48,0.3299
49,0.8166
50,0.1266
51,0.3613
52,0.8136
53,0.436
54,0.5103
55,0.9595
56,0.5627
57,0.4063
58,0.6451
59,0.8493
60,0.1546
61,0.6669
62,0.293
63,0.1953
64,0.6843
65,0.3434
66,0.1893
67,0.5862
68,0.5922
69,0.7212
70,0.3033
71,0.5924
72,0.3807
73,0.2306
74,0.4285
75,0.3181
76,0.6773
77,0.1795
78,0.3732
79,0.2853
80,0.796
81,0.5157
82,0.3272
83,0.4539
84,0.4878
85,0.557
86,0.2233
87,0.1637
88,0.3211
89,0.4586
90,0.1675
91,0.187
92,0.3398
93,0.5715
94,0.1422
95,0.1159
96,0.7127
97,0.2108
98,0.3128
99,0.3482
100,0.2204
101,0.2579
102,0.2645
103,0.3343
104,0.3479
105,0.3957
106,0.9671
107,0.3798
108,0.1496
109,0.5607
110,0.3211
111,0.8331
112,0.5591
113,0.8579
114,0.4735
115,1.1259
116,0.5267
117,0.4236
118,0.6665
119,0.72
120,0.2679
121,0.3224
122,0.2805
123,0.2003
124,0.7363
125,0.1391
126,0.1348
127,0.4011
128,0.4033
129,0.3966
130,0.7028
131,0.3812
132,0.3341
133,0.4927
134,0.488
135,0.1874
136,0.5515
137,0.7505
138,0.4211
139,0.5942
140,0.7749
141,0.2434
142,0.1841
143,0.2314
144,0.8359
145,0.4462
146,0.435
147,0.4233
148,0.7583
149,0.8565
150,1.3298
151,0.5407
152,0.4276
153,0.606
154,0.7663
155,0.0922
156,0.2307
157,0.4158
158,0.9716
159,0.46
160,0.7124
161,0.2659
162,1.0529
163,0.3626
164,0.4338
165,0.8182
166,0.2869
167,0.564
168,0.8909
169,0.4686
170,0.7446
171,1.2602
172,0.4688
173,0.2363
174,0.2605
175,0.5422
176,0.5535
177,0.6879
178,0.15
179,0.5537
180,0.4885
181,0.3016
182,0.163
183,0.7774
184,0.7137
185,0.2386
186,0.2838
187,0.9928
188,0.4979
189,1.3025
190,0.2869
191,0.1365
192,0.6042
193,0.7103
194,0.6441
195,0.8258
196,0.391
197,0.2913
198,0.4475
199,0.6988
200,0.3831
201,0.3104
202,0.4739
203,0.2098
204,0.5831
205,0.5825
206,0.2154
207,0.1208
208,0.4957
209,0.6529
210,0.4698
211,0.3462
212,1.4413
213,0.5129
214,0.6992
215,0.5009
216,0.3205
217,0.163
218,0.666
219,0.4873
220,0.4725
221,0.6028
222,0.2466
223,0.4094
224,0.6385
225,0.2996
226,0.5366
227,0.2258
228,0.3869
229,0.1056
230,0.5758
231,0.2455
232,0.1771
233,0.2975
234,0.1848
235,0.7393
236,0.9574
237,1.2705
238,0.8123
239,0.2645
240,1.6288
241,0.3235
242,0.3887
243,0.8653
244,0.3876
245,0.8644
246,0.6369
247,0.6564
248,0.1971
249,0.196
250,0.4356
251,0.1748
252,0.1612
253,0.3427
254,0.4483
255,0.1766
256,0.4556
257,0.4363
258,0.3881
259,0.4523
260,0.3255
261,0.3374
262,0.217
263,0.7352
264,0.1315
265,0.2168
266,0.7356
267,0.8023
268,1.3535
269,0.3467
270,0.3632
271,0.4951
272,0.1815
273,0.1008
274,0.6196
275,0.4336
276,0.5188
277,0.6066
278,0.5485
279,0.3118
280,0.635
281,0.643
282,0.168
283,0.8839
284,0.7171
285,0.3866
286,0.7873
287,0.7658
288,0.7899
289,0.1421
290,1.0747
291,0.7216
292,0.4123
293,0.4066
294,0.3862
295,0.1479
296,0.297
297,0.364
298,0.8812
299,1.1445
300,0.1374
301,0.1177
302,0.463
303,0.6848
304,0.2101
305,0.1672
306,0.3887
307,0.4234
308,0.3657
309,0.2714
310,0.2078
