,0
0,0.3108
1,0.1573
2,0.353
3,0.3041
4,0.6777
5,0.6709
6,0.6172
7,0.528
8,0.7767
9,0.1664
10,0.6258
11,0.1758
12,0.502
13,0.3516
14,0.3811
15,0.3135
16,0.3108
17,0.6459
18,0.6601
19,0.5595
20,0.2958
21,0.4262
22,0.3026
23,0.5789
24,0.5419
25,0.6812
26,0.3133
27,0.6031
28,0.3965
29,0.2202
30,0.8793
31,0.2828
32,0.5157
33,0.6847
34,0.4012
35,0.3559
36,0.6518
37,0.3595
38,0.7439
39,0.7374
40,0.7424
41,0.4421
42,0.893
43,0.288
44,0.1796
45,0.2433
46,0.9141
47,0.3954
48,0.515
49,0.6846
50,0.1483
51,0.2827
52,0.612
53,0.425
54,0.4437
55,0.8212
56,0.7595
57,0.5479
58,0.7277
59,0.6307
60,0.1358
61,0.3971
62,0.2823
63,0.1963
64,0.7984
65,0.36
66,0.156
67,0.558
68,0.9947
69,0.6112
70,0.4741
71,0.5124
72,0.4392
73,0.2074
74,0.2104
75,0.234
76,0.8345
77,0.1649
78,0.3509
79,0.3082
80,0.8076
81,0.7454
82,0.5424
83,0.8421
84,0.6506
85,0.7798
86,0.2494
87,0.2785
88,0.4632
89,0.4146
90,0.2108
91,0.2286
92,0.386
93,0.5618
94,0.1577
95,0.1639
96,0.676
97,0.2439
98,0.4125
99,0.5105
100,0.2015
101,0.2457
102,0.2856
103,0.376
104,0.5009
105,0.3801
106,0.8385
107,0.4862
108,0.1846
109,0.5977
110,0.3758
111,0.6993
112,0.618
113,0.7822
114,0.4741
115,1.0804
116,0.2742
117,0.5294
118,0.4839
119,0.6506
120,0.3592
121,0.2563
122,0.3073
123,0.2201
124,0.7057
125,0.2467
126,0.1806
127,0.3495
128,0.4873
129,0.3761
130,0.669
131,0.5191
132,0.2454
133,0.4095
134,0.6382
135,0.2491
136,0.7799
137,0.7554
138,0.3839
139,0.7364
140,0.5079
141,0.1748
142,0.1991
143,0.3344
144,0.5613
145,0.4229
146,0.2917
147,0.4387
148,0.606
149,0.8046
150,0.7669
151,0.7823
152,0.7085
153,0.894
154,0.8362
155,0.1622
156,0.2296
157,0.327
158,0.5113
159,0.4583
160,0.3679
161,0.5044
162,1.1661
163,0.5995
164,0.633
165,0.9713
166,0.3315
167,0.5312
168,0.6832
169,0.3516
170,0.6636
171,0.9331
172,0.6865
173,0.2594
174,0.3085
175,0.756
176,0.432
177,0.4832
178,0.2088
179,0.6094
180,0.4015
181,0.3568
182,0.499
183,0.8436
184,0.7956
185,0.1416
186,0.2526
187,0.9769
188,0.4278
189,0.9659
190,0.4856
191,0.1194
192,0.4198
193,0.7723
194,0.5808
195,0.6821
196,0.4448
197,0.3402
198,0.3681
199,0.7871
200,0.7378
201,0.2696
202,0.3366
203,0.3305
204,0.4692
205,0.5792
206,0.3755
207,0.1523
208,0.5165
209,0.7439
210,0.3652
211,0.3751
212,1.14
213,0.5623
214,0.6949
215,0.4046
216,0.5549
217,0.1896
218,0.3805
219,0.773
220,0.3282
221,0.3703
222,0.416
223,0.3156
224,0.9569
225,0.2227
226,0.6435
227,0.251
228,0.6249
229,0.1762
230,0.7287
231,0.393
232,0.1773
233,0.297
234,0.1975
235,0.4847
236,0.6605
237,0.9937
238,0.8694
239,0.2764
240,1.3866
241,0.2695
242,0.2832
243,0.6927
244,0.5943
245,0.7772
246,0.6824
247,0.6107
248,0.2124
249,0.1657
250,0.4927
251,0.1602
252,0.2098
253,0.4602
254,0.3705
255,0.3079
256,0.4598
257,0.4494
258,0.2719
259,0.3532
260,0.5084
261,0.253
262,0.2061
263,0.8426
264,0.2411
265,0.2704
266,0.5819
267,0.9427
268,1.034
269,0.4322
270,0.6839
271,0.3755
272,0.208
273,0.1444
274,0.841
275,0.7002
276,0.7364
277,0.4558
278,0.7362
279,0.4102
280,0.5421
281,0.7022
282,0.2242
283,0.8108
284,0.9241
285,0.2862
286,0.7809
287,0.6862
288,0.4273
289,0.1833
290,0.9658
291,0.639
292,0.7018
293,0.3527
294,0.4478
295,0.3011
296,0.3955
297,0.3511
298,0.8813
299,0.7244
300,0.1572
301,0.1287
302,0.5321
303,0.5294
304,0.2448
305,0.1428
306,0.3926
307,0.473
308,0.2917
309,0.3555
310,0.2159
311,0.4413
312,0.3172
313,1.13
314,0.2201
315,0.5189
316,0.5559
317,0.7439
318,1.0613
319,0.2762
320,0.3046
321,0.4885
322,0.2663
323,0.6465
324,0.7314
325,0.1778
326,0.4064
327,0.4287
328,1.0055
329,0.4023
330,1.3493
331,0.5546
332,0.6663
333,0.5974
334,0.3113
335,0.9365
336,0.196
337,1.0818
338,1.0402
339,0.6276
340,1.0275
341,0.2658
342,0.5359
343,0.532
344,0.4872
345,0.5531
346,0.7898
347,0.2639
348,0.7457
349,0.9933
350,0.7359
351,0.6187
352,0.367
353,0.1966
354,0.3772
355,0.6673
356,0.5907
357,0.5332
358,0.5018
359,0.7674
360,0.2277
361,0.5371
362,0.2168
363,0.3221
364,0.4794
365,0.537
366,0.4249
367,0.2154
368,0.6051
369,0.553
370,0.294
371,0.5303
372,0.5336
373,0.308
374,0.2047
375,0.4887
376,0.3763
377,0.213
378,0.1968
379,0.9148
380,0.2484
381,0.6897
382,0.3001
383,0.6997
384,0.402
385,0.2435
386,0.938
387,0.6354
388,0.6469
389,0.3123
390,0.2693
391,0.2881
392,0.4382
393,0.2612
394,0.9018
395,0.5388
396,0.1261
397,1.0451
398,0.4186
399,0.4215
400,0.3396
401,0.3647
402,0.406
403,0.7984
404,0.6707
405,0.909
406,0.1875
407,0.7355
408,0.3728
409,0.6987
410,0.6665
411,0.2565
412,0.2675
413,0.6832
414,0.5084
415,0.3379
416,0.7313
417,0.3794
418,0.7514
419,0.112
420,0.2279
421,0.7469
422,0.1382
423,0.6445
424,0.2331
425,0.2118
426,0.2125
427,0.5559
428,0.5301
429,0.556
430,0.7008
431,0.6039
432,0.7232
433,0.4634
434,0.1131
435,0.5599
436,0.3768
437,1.0234
438,0.3627
439,0.5055
440,0.5329
441,0.5645
442,0.2943
443,0.4213
444,0.3961
445,0.3328
446,0.256
447,0.7228
448,0.3913
449,0.3537
450,0.5634
451,0.6543
452,0.4705
453,0.2397
454,0.4995
455,0.5969
456,0.3373
457,0.3318
458,0.3162
459,0.9078
460,0.3496
461,0.7721
462,0.7047
463,0.4191
464,0.5441
465,0.5447
466,0.6144
467,0.3805
468,0.5531
469,0.458
470,0.4891
471,0.3736
472,0.7555
473,0.5929
474,0.5344
475,0.7075
476,0.5193
477,0.6003
478,0.6809
479,1.0097
480,0.2751
481,0.6934
482,0.3499
483,0.2531
484,0.4554
485,0.6875
486,0.4875
487,0.1958
488,0.8269
489,0.2089
490,0.9289
491,0.3479
492,0.326
493,0.5258
494,0.6979
495,0.3561
496,0.5148
497,0.7467
498,0.3146
499,0.3325
500,0.1997
501,0.7056
502,0.9921
503,0.2295
504,0.1736
505,0.3398
506,0.2035
507,0.3066
508,0.44
509,0.3739
510,0.8264
511,0.5493
512,0.1763
513,0.6184
514,0.3803
515,0.4344
516,0.3041
517,0.1389
518,0.4632
519,1.027
520,0.5618
521,1.0094
522,0.7147
523,0.3133
524,0.5013
525,0.4941
526,0.1863
527,0.3581
528,1.0844
529,0.5292
530,0.367
531,0.2744
532,0.2795
533,0.8125
534,0.3331
535,0.9663
536,0.2236
537,0.4109
538,0.7521
539,0.473
540,0.3094
541,0.1171
542,0.3441
543,0.6641
544,0.6161
545,0.883
546,0.4785
547,0.2787
548,0.5485
549,0.8989
550,0.9579
551,0.2255
552,0.4351
553,0.4709
554,0.2696
555,1.147
556,0.5594
557,0.6073
558,0.2822
559,1.0135
560,1.1302
561,1.0791
562,0.3559
563,0.2244
564,0.1936
565,0.5079
566,0.3619
567,0.9363
568,0.2514
569,0.8147
570,0.37
571,0.7736
572,0.6077
573,0.8452
574,0.4476
575,0.1696
576,0.4451
577,0.3267
578,0.2964
579,0.8394
580,0.2578
581,0.5476
582,0.7719
583,0.2345
584,0.1679
585,0.4202
586,0.5824
587,0.7787
588,0.6484
589,0.705
590,0.2209
591,0.4389
592,0.3106
593,0.4558
594,0.54
595,0.5427
596,0.2035
597,0.5431
598,0.1434
599,0.8477
600,0.7897
601,0.5799
602,0.6971
603,0.5922
604,0.3921
605,0.2692
606,0.3755
607,0.5003
608,0.7254
609,0.5015
610,0.4398
611,0.465
612,0.2268
613,0.9674
614,0.2365
615,0.2073
616,0.4269
617,0.3703
618,0.8386
619,0.3954
620,0.6855
621,1.0818
622,0.424
623,0.3113
624,0.5177
625,0.5563
626,0.6867
627,0.9742
628,0.2204
629,0.6431
630,0.3539
631,0.7558
632,0.5261
633,0.5238
634,0.3011
635,0.5343
636,0.2891
637,0.8152
638,0.9443
639,0.197
640,0.7315
641,0.7115
642,0.3346
643,0.1252
644,0.5615
645,0.3908
646,1.04
647,0.3234
648,0.5052
649,0.3769
650,0.5986
651,0.6241
652,1.1759
653,0.3215
654,0.0984
655,0.3628
656,0.6369
657,0.3904
658,0.9964
659,0.1518
660,0.1961
661,0.5136
662,0.2751
663,0.3578
664,0.3283
665,0.654
666,0.463
667,0.8651
668,0.6886
669,0.518
670,0.6085
671,0.2395
672,0.3179
673,0.2814
674,0.3378
675,0.3532
676,0.3273
677,0.2462
678,0.5409
679,0.5737
680,0.2601
681,0.3895
682,0.8281
683,0.4096
