,0
0,0.1115
1,0.0925
2,0.3148
3,0.2346
4,0.6281
5,0.7057
6,0.6829
7,0.4306
8,0.3559
9,0.156
10,0.594
11,0.2103
12,0.3523
13,0.3295
14,0.2494
15,0.2638
16,0.1983
17,0.7434
18,0.4943
19,0.4099
20,0.1837
21,0.3272
22,0.4243
23,0.482
24,0.3497
25,0.7867
26,0.3873
27,0.7223
28,0.4649
29,0.1714
30,1.0823
31,0.3519
32,0.3702
33,0.7076
34,0.6057
35,0.2953
36,0.6645
37,0.2839
38,0.5895
39,0.6986
40,0.5419
41,0.6433
42,1.0052
43,0.3664
44,0.1934
45,0.1422
46,0.7215
47,0.4635
48,0.2401
49,0.8186
50,0.1527
51,0.3361
52,0.7209
53,0.5395
54,0.3674
55,1.0207
56,0.6317
57,0.5197
58,0.7605
59,1.0128
60,0.1052
61,0.5324
62,0.2058
63,0.2059
64,0.7116
65,0.3799
66,0.1755
67,0.6725
68,0.3361
69,0.8807
70,0.3062
71,0.5343
72,0.3295
73,0.2326
74,0.3448
75,0.3703
76,0.665
77,0.1568
78,0.4196
79,0.2888
80,0.9066
81,0.6166
82,0.4635
83,0.4054
84,0.5443
85,0.5997
86,0.2974
87,0.1894
88,0.3053
89,0.43
90,0.1969
91,0.2175
92,0.2664
93,0.5539
94,0.1338
95,0.1343
96,0.8122
97,0.224
98,0.1979
99,0.347
100,0.252
101,0.2278
102,0.2482
103,0.3353
104,0.3065
105,0.4359
106,0.989
107,0.4301
108,0.1035
109,0.607
110,0.2629
111,0.5642
112,0.6908
113,0.5956
114,0.5382
115,1.0729
116,0.6451
117,0.3209
118,0.498
119,0.7523
120,0.333
121,0.4238
122,0.3076
123,0.2233
124,1.0126
125,0.1312
126,0.1635
127,0.4227
128,0.3077
129,0.4207
130,0.7401
131,0.4993
132,0.5321
133,0.5199
134,0.5237
135,0.1487
136,0.6066
137,0.7763
138,0.3814
139,0.6628
140,0.6445
141,0.1937
142,0.1744
143,0.2306
144,0.5874
145,0.4357
146,0.486
147,0.3944
148,0.671
149,0.8898
150,1.4934
151,0.5534
152,0.4186
153,0.6009
154,0.9081
155,0.1121
156,0.1955
157,0.3721
158,0.8989
159,0.4077
160,0.7105
161,0.2725
162,1.0743
163,0.4485
164,0.5185
165,0.7662
166,0.2973
167,0.6221
168,1.1628
169,0.5892
170,0.5243
171,1.4258
172,0.6484
173,0.2481
174,0.3804
175,0.4994
176,0.5406
177,0.6901
178,0.2429
179,0.6328
180,0.5801
181,0.3166
182,0.2059
183,0.9943
184,0.6886
185,0.2154
186,0.2651
187,0.9754
188,0.3905
189,1.2411
190,0.3856
191,0.1495
192,0.5839
193,0.917
194,0.7205
195,0.795
196,0.3813
197,0.4012
198,0.5617
199,0.6483
200,0.3872
201,0.3749
202,0.7143
203,0.2036
204,0.6175
205,0.6722
206,0.1719
207,0.0917
208,0.3889
209,0.6571
210,0.4879
211,0.3283
212,1.7935
213,0.5985
214,0.7335
215,0.4191
216,0.4441
217,0.1924
218,0.6823
219,0.6319
220,0.3861
221,0.5806
222,0.2537
223,0.3683
224,0.7385
225,0.2873
226,0.5263
227,0.1759
228,0.2326
229,0.1008
230,0.9805
231,0.2423
232,0.1362
233,0.2816
234,0.2095
235,0.7826
236,0.6974
237,1.2147
238,0.7015
239,0.2837
240,1.8251
241,0.2519
242,0.4253
243,0.7733
244,0.2597
245,0.9407
246,0.4988
247,0.7193
248,0.2114
249,0.2149
250,0.4174
251,0.1712
252,0.2291
253,0.3519
254,0.3372
255,0.2101
256,0.4853
257,0.4084
258,0.4199
259,0.3984
260,0.3851
261,0.3564
262,0.2083
263,0.7771
264,0.1069
265,0.2565
266,0.4902
267,1.1461
268,1.4392
269,0.2705
270,0.3239
271,0.5728
272,0.1853
273,0.0869
274,0.4804
275,0.3739
276,0.4149
277,0.4587
278,0.6864
279,0.2843
280,0.4545
281,0.5303
282,0.2084
283,0.9161
284,0.9343
285,0.446
286,0.6278
287,0.6602
288,0.5484
289,0.1914
290,1.3143
291,0.7198
292,0.2828
293,0.3986
294,0.3841
295,0.1813
296,0.3655
297,0.3919
298,1.0604
299,1.1236
300,0.1293
301,0.0964
302,0.441
303,0.5229
304,0.1409
305,0.1844
306,0.3098
307,0.3315
308,0.2922
309,0.2525
310,0.2226
311,0.2739
312,0.1838
313,0.8242
314,0.2526
315,0.4904
316,0.349
317,0.5211
318,0.4528
319,0.1533
320,0.2946
321,0.5107
322,0.1941
323,0.6675
324,0.7509
325,0.1405
326,0.6608
327,0.5846
328,0.614
329,0.6592
330,1.8657
331,0.8084
332,0.4126
333,0.7344
334,0.4376
335,1.0381
336,0.164
337,0.9465
338,1.2757
339,0.5635
340,1.1038
341,0.3508
342,0.2652
343,0.5157
344,0.551
345,0.4208
346,0.7075
347,0.2097
348,0.9855
349,0.5871
350,0.54
351,0.8274
352,0.6475
353,0.1257
354,0.5019
355,0.6079
356,0.7008
357,0.4259
358,0.4136
359,0.6871
360,0.3818
361,0.5358
362,0.2561
363,0.3291
364,0.2771
365,0.3128
366,0.4955
367,0.1679
368,0.4868
369,0.5828
370,0.3807
371,0.5141
372,0.3466
373,0.282
374,0.1298
375,0.3475
376,0.3323
377,0.2085
378,0.1878
379,1.6126
380,0.2359
381,0.6937
382,0.2697
383,0.744
384,0.6393
385,0.2023
386,0.9262
387,0.6334
388,0.3849
389,0.2063
390,0.3246
391,0.2926
392,0.4033
393,0.2298
394,0.4665
395,0.5237
396,0.1793
397,0.8603
398,0.3392
399,0.4808
400,0.3598
401,0.2576
402,0.5169
403,0.6879
404,0.7065
405,1.1153
406,0.1361
407,0.8667
408,0.2733
409,0.6255
410,0.8869
411,0.2335
412,0.2238
413,0.6124
414,0.2759
415,0.3498
416,0.5898
417,0.4746
418,0.5427
419,0.1044
420,0.2359
421,1.4274
422,0.114
423,0.502
424,0.1651
425,0.1757
426,0.2093
427,0.3689
428,0.6984
429,0.4316
430,0.5444
431,0.4054
432,0.3817
433,0.3491
434,0.2079
435,0.7703
436,0.4266
437,0.7709
438,0.5809
439,0.4566
440,0.3055
441,0.8924
442,0.2413
443,0.4113
444,0.2207
445,0.2798
446,0.1716
