,0
0,0.2376
1,0.1438
2,0.45
3,0.2921
4,0.6033
5,0.6191
6,0.4915
7,0.5201
8,0.7692
9,0.1871
10,0.5767
11,0.1969
12,0.616
13,0.3091
14,0.4031
15,0.3055
16,0.3148
17,0.6187
18,0.6046
19,0.5794
20,0.3561
21,0.4168
22,0.2357
23,0.6003
24,0.5058
25,0.7583
26,0.2628
27,0.5926
28,0.4032
29,0.2044
30,0.9283
31,0.2671
32,0.5158
33,0.6639
34,0.4398
35,0.316
36,0.6869
37,0.3962
38,0.6278
39,0.7269
40,0.5872
41,0.4638
42,0.9916
43,0.2697
44,0.1547
45,0.2306
46,0.8213
47,0.4502
48,0.6429
49,0.6794
50,0.1694
51,0.2822
52,0.55
53,0.3758
54,0.4138
55,0.7223
56,1.0667
57,0.6101
58,0.79
59,0.6423
60,0.1503
61,0.4119
62,0.2296
63,0.195
64,0.756
65,0.3794
66,0.1771
67,0.5613
68,0.9001
69,0.6094
70,0.4195
71,0.5096
72,0.3505
73,0.2242
74,0.206
75,0.225
76,0.6813
77,0.1778
78,0.2957
79,0.2813
80,0.6042
81,0.7081
82,0.5257
83,0.9341
84,0.4823
85,0.8772
86,0.2852
87,0.2874
88,0.4272
89,0.4075
90,0.2655
91,0.2135
92,0.2613
93,0.51
94,0.1363
95,0.1823
96,0.6388
97,0.2512
98,0.4162
99,0.5429
100,0.2001
101,0.2306
102,0.3474
103,0.4218
104,0.6402
105,0.3784
106,0.7409
107,0.4325
108,0.158
109,0.687
110,0.4305
111,0.654
112,0.7475
113,0.8016
114,0.337
115,0.9637
116,0.2972
117,0.587
118,0.4597
119,0.7195
120,0.2593
121,0.2519
122,0.2738
123,0.253
124,0.5997
125,0.2386
126,0.1528
127,0.3643
128,0.4801
129,0.4298
130,0.6619
131,0.5472
132,0.352
133,0.4055
134,0.6262
135,0.2819
136,0.7247
137,0.7608
138,0.3865
139,0.6532
140,0.5729
141,0.1602
142,0.1596
143,0.3466
144,0.4154
145,0.4817
146,0.3314
147,0.4019
148,0.44
149,0.6964
150,0.983
151,0.8227
152,0.5537
153,0.86
154,0.6441
155,0.1819
156,0.2274
157,0.3074
158,0.504
159,0.4367
160,0.4809
161,0.5427
162,1.0236
163,0.5753
164,0.7332
165,0.9818
166,0.3727
167,0.5014
168,0.5141
169,0.3647
170,0.6246
171,0.9758
172,0.754
173,0.2615
174,0.2639
175,0.7329
176,0.3967
177,0.4366
178,0.1981
179,0.6467
180,0.448
181,0.3806
182,0.5729
183,0.7848
184,0.6812
185,0.1568
186,0.2718
187,0.9682
188,0.46
189,0.9739
190,0.5599
191,0.1108
192,0.4614
193,0.7894
194,0.5777
195,0.7154
196,0.4461
197,0.3389
198,0.3434
199,0.8706
200,0.7482
201,0.2455
202,0.3208
203,0.3785
204,0.5708
205,0.5846
206,0.3822
207,0.1301
208,0.6259
209,0.6333
210,0.34
211,0.4078
212,1.1491
213,0.5569
214,0.5741
215,0.3896
216,0.5956
217,0.1805
218,0.3277
219,0.8575
220,0.4066
221,0.3603
222,0.4276
223,0.2896
224,1.0465
225,0.231
226,0.6147
227,0.2506
228,0.6762
229,0.1618
230,0.7884
231,0.3957
232,0.1264
233,0.2886
234,0.1574
235,0.543
236,0.6956
237,0.8492
238,1.0964
239,0.2481
240,0.9864
241,0.3026
242,0.2494
243,0.6306
244,0.5026
245,0.8144
246,0.6226
247,0.6545
248,0.2721
249,0.1556
250,0.5007
251,0.1407
252,0.2598
253,0.5116
254,0.3905
255,0.3385
256,0.5468
257,0.4957
258,0.2323
259,0.3711
260,0.5362
261,0.2889
262,0.2313
263,0.7257
264,0.2207
265,0.2773
266,0.7448
267,0.9972
268,1.0727
269,0.3758
270,0.6067
271,0.3363
272,0.1929
273,0.1448
274,0.7486
275,0.7045
276,0.7981
277,0.4535
278,0.849
279,0.4416
280,0.5534
281,0.7313
282,0.2593
283,0.7557
284,0.8153
285,0.303
286,0.7916
287,0.6846
288,0.4617
289,0.1813
290,1.2863
291,0.6285
292,0.9091
293,0.3058
294,0.4254
295,0.2703
296,0.435
297,0.3547
298,0.8042
299,0.667
300,0.1432
301,0.1335
302,0.549
303,0.486
304,0.273
305,0.1301
306,0.4008
307,0.4351
308,0.3623
309,0.3766
310,0.1963
311,0.4533
312,0.1983
313,1.0089
314,0.2126
315,0.5267
316,0.4994
317,0.6857
318,0.8227
319,0.31
320,0.2691
321,0.5189
322,0.228
323,0.6671
324,0.6516
325,0.1694
326,0.5112
327,0.4348
328,0.9581
329,0.3879
330,0.9894
331,0.5275
332,0.5977
333,0.6569
334,0.2856
335,0.849
336,0.2112
337,1.1694
338,0.9732
339,0.5336
340,1.042
341,0.2865
342,0.5505
343,0.5535
344,0.4896
345,0.5694
346,0.7462
347,0.2295
348,0.7974
349,0.9645
350,0.5459
351,0.6196
352,0.3497
353,0.1803
354,0.4157
355,0.6371
356,0.4644
357,0.5387
358,0.4196
359,0.7366
360,0.2871
361,0.5721
362,0.2414
363,0.3413
364,0.4844
365,0.5597
366,0.4072
367,0.2199
368,0.6251
369,0.4824
370,0.2994
371,0.5976
372,0.5955
373,0.3477
374,0.2043
375,0.4504
376,0.3169
377,0.2109
378,0.2673
379,0.9148
380,0.21
381,0.7673
382,0.2575
383,0.606
384,0.3275
385,0.241
386,1.0422
387,0.596
388,0.8125
389,0.2671
390,0.2847
391,0.3002
392,0.3738
393,0.2698
394,0.7092
395,0.5875
396,0.1122
397,1.0667
398,0.4177
399,0.4282
400,0.3639
401,0.3931
402,0.4682
403,0.9077
404,0.7738
405,0.9793
406,0.1628
407,0.8403
408,0.368
409,0.6867
410,0.6662
411,0.2884
412,0.4027
413,0.7433
414,0.4502
415,0.3131
416,0.7581
417,0.4251
418,0.6668
419,0.1196
420,0.1826
421,0.7597
422,0.1522
423,0.6754
424,0.2242
425,0.2259
426,0.1691
427,0.4879
428,0.4916
429,0.612
430,0.5784
431,0.585
432,0.6629
433,0.4963
434,0.1132
435,0.6017
436,0.4124
437,0.9236
438,0.4273
439,0.5592
440,0.7744
441,0.515
442,0.322
443,0.4469
444,0.4805
445,0.3514
446,0.2909
447,0.6802
448,0.4968
449,0.3851
450,0.5074
451,0.7391
452,0.4031
453,0.252
454,0.5824
455,0.5332
456,0.2852
457,0.3062
458,0.3973
459,0.8585
460,0.4351
461,0.7276
462,0.5937
463,0.4235
464,0.5746
465,0.615
466,0.489
467,0.3572
468,0.487
469,0.4974
470,0.4344
471,0.3701
472,0.6473
473,0.5108
474,0.5657
475,0.686
476,0.5361
477,0.5934
478,0.8923
479,1.1267
480,0.2337
481,0.595
482,0.3759
483,0.278
484,0.5844
485,0.6783
486,0.3716
487,0.1714
488,0.8181
489,0.1809
490,0.8898
491,0.3486
492,0.3328
493,0.4714
494,0.6761
495,0.3772
496,0.7337
497,0.6866
498,0.4054
499,0.3127
500,0.2008
501,0.6666
502,0.7774
503,0.1959
504,0.2232
505,0.2895
506,0.2004
507,0.2813
508,0.3954
509,0.3178
510,0.6626
511,0.5817
512,0.1429
513,0.709
514,0.4614
515,0.3901
516,0.2938
517,0.1587
518,0.6706
519,0.8973
520,0.7751
521,1.1312
522,0.594
523,0.3296
524,0.6013
525,0.5466
526,0.2147
527,0.4088
528,0.9152
529,0.5284
530,0.4041
531,0.277
532,0.2946
533,0.8067
534,0.4457
535,0.9768
536,0.1956
537,0.4033
538,0.6372
539,0.4561
540,0.2645
541,0.1033
542,0.4104
543,0.7146
544,0.7026
545,0.9422
546,0.4795
547,0.2939
548,0.6097
549,0.8473
550,0.9898
551,0.2024
552,0.4619
553,0.4091
554,0.3142
555,0.9749
556,0.6286
557,0.5926
558,0.3125
559,1.0216
560,0.8764
561,0.959
562,0.3696
563,0.2215
564,0.2699
565,0.5576
566,0.3356
567,0.941
568,0.2563
569,0.8707
570,0.3734
571,0.7465
572,0.927
573,0.9108
574,0.3811
575,0.1562
576,0.3432
577,0.3622
578,0.3481
579,0.7248
580,0.3023
581,0.5431
582,0.5926
583,0.2508
584,0.1774
585,0.4723
586,0.6421
587,0.7336
588,0.5708
589,0.6529
590,0.2149
591,0.4513
592,0.3173
593,0.4693
594,0.5412
595,0.5251
596,0.1513
597,0.4782
598,0.1576
599,0.8415
600,0.7886
601,0.5454
602,0.592
603,0.6036
604,0.3912
605,0.2519
606,0.3927
607,0.4252
608,0.7149
609,0.5453
610,0.3922
611,0.4655
612,0.2733
613,0.9402
614,0.2256
615,0.2282
616,0.4385
617,0.3962
618,0.817
619,0.4436
620,0.6161
621,1.0092
622,0.5635
623,0.3517
624,0.5685
625,0.5037
626,0.6935
627,0.979
628,0.2201
629,0.7203
630,0.3236
631,0.846
632,0.5966
633,0.4929
634,0.2922
635,0.4798
636,0.2346
637,0.7027
638,1.0132
639,0.179
640,0.6951
641,0.6555
642,0.2895
643,0.1167
644,0.4977
645,0.413
646,1.1594
647,0.3076
648,0.3256
649,0.3648
650,0.7142
651,0.5861
652,0.8828
653,0.3115
654,0.1236
655,0.3795
656,0.6631
657,0.3839
658,1.1117
659,0.1298
660,0.1723
661,0.4831
662,0.302
663,0.3155
664,0.3059
665,0.7507
666,0.3851
667,0.9482
668,0.7401
669,0.5527
670,0.5123
671,0.259
672,0.3218
673,0.2679
674,0.4156
675,0.3798
676,0.3097
677,0.2521
678,0.5741
679,0.5981
680,0.2418
681,0.3381
682,0.7909
683,0.3842
684,0.549
685,0.573
686,0.235
687,0.4382
688,0.1756
689,0.3691
690,0.6271
691,0.4234
692,0.7612
693,0.6734
694,0.1421
695,0.1153
696,0.4235
697,0.3251
698,0.313
699,0.6381
700,0.7626
701,0.4366
702,0.449
703,0.5058
704,0.8489
705,0.3698
706,0.5476
707,0.7485
708,0.5381
709,0.462
710,0.3064
711,0.9924
712,0.2078
713,1.1234
714,0.7185
715,0.2308
716,0.8669
717,0.2745
718,0.3409
719,0.1558
720,0.2729
721,0.3048
722,0.4895
723,0.2332
724,0.4821
725,0.2878
726,0.3902
727,0.221
728,0.5695
729,0.2848
730,0.6005
731,0.2466
732,0.1372
733,0.3899
734,1.0659
735,0.7735
736,0.3799
737,1.0844
738,0.3546
739,0.5267
740,0.378
741,0.3159
742,0.6242
743,0.896
744,0.3895
745,0.4182
746,0.3347
747,0.6404
748,0.666
749,0.1896
750,0.7508
751,0.1905
752,0.2692
753,0.4783
754,0.3371
755,0.9893
756,0.2441
757,0.914
758,0.7487
759,0.5977
760,0.3823
761,0.232
762,0.8775
763,0.6074
764,0.6843
765,0.6634
766,0.7435
767,0.2171
768,0.3494
769,0.7076
770,0.3084
771,0.3541
772,0.2124
773,0.4485
774,0.8892
775,0.3951
776,0.4875
777,0.9159
778,0.3463
779,0.1693
780,0.1909
781,0.2038
782,0.2111
783,0.1803
784,1.0899
785,0.6884
786,0.2261
787,0.1827
788,0.6984
789,0.4423
790,0.5014
791,0.5006
792,0.3094
793,0.182
794,0.5271
795,0.8277
796,0.2305
797,0.6083
798,0.5234
799,0.4175
800,0.2697
801,0.627
802,1.0441
803,0.7707
804,1.1649
805,0.4371
806,0.9546
807,0.6737
808,0.5725
809,0.5101
810,0.6837
811,0.4122
812,0.2079
813,0.682
814,0.7895
815,0.6497
816,0.2868
817,0.6263
818,0.1641
819,0.6262
820,0.4225
821,0.452
822,0.5394
823,0.6195
824,0.2715
825,0.5028
826,0.4673
827,0.3219
828,0.7294
829,0.7038
830,0.9851
831,0.4739
832,0.6298
833,0.7902
834,0.299
835,0.629
836,0.9119
837,0.2125
838,0.9853
839,0.5321
840,0.1933
841,0.5847
842,0.463
843,0.5723
844,0.4196
845,0.1881
846,0.3356
847,0.336
848,0.1752
849,0.4298
850,0.5514
851,0.6649
852,0.6601
853,0.4559
854,0.1346
855,0.6744
856,0.601
857,0.4887
858,0.2758
859,0.4759
860,0.6099
861,1.0247
862,0.162
863,0.3648
864,0.2276
865,0.6723
866,0.774
867,0.6774
868,0.5393
869,0.422
870,0.3633
871,0.3266
